SKU,Description
RK1770,"1 Bracelet Rakhi,1 Printed Pink Potli 11inches,1 Printed Pink Envelope 4x8inches,1 Small Floral Roli Chawal Box,Almonds 250gms,1 Small Yellow Cushion"
RK1795,"1 Rakhi,1 Small Yellow Cushion,Almonds 250gms,1 Green Hand Made Basket 5x5x3inches,Roli Chawal"
RK1797,"1 Rakhi,1 Green Hand Made Basket 5x5x3inches,Almonds 250gms,1 Designer Yellow Envelope 4x8 inches,Roli Chawal"
RK1816,"1 Rakhi,1 Ganesha Wooden Thali 6.5x6.5inches,Roli Chawal"
RK1819,"1 Rakhi,1 Small Peacock Thali 6x6inches,Roli Chawal"
RK1821,"1 RakhiFerrero Rocher Chocolate 16 pcs.,1 Pringles Cheese & Onion 165gms,1 Brown Bag 7.5x7.5inches,Roli Chawal"
RK185,"Brown Flat Tray 9x11, 200gms Assorted Chocolate, Small Golden Boxes with Roli Chawal, Small Yellow Cushion, Red & Golden Potley, Green & Red Chain Metallic Rakhi"
RK1861,"1 Rakhi,1 Small Yellow Cushion,7 Nestle Alpino Chocolates 22gms, Sky Blue Bucket Diameter 4 & height 4 inches, Roli Chawal"
RK1865,"1 Rakhi,1 Pagdi Box Diameter 6inches,Cashew 100 gms,Almonds 100gms,Roli Chawal"
RK915,"150 gms chocolate with a sweet message cover,Complimentary Roli Chawal & White and blue beaded evil eye bracelet."
RK1874,"1 Rakhi,1 Yellow Designer Envelope 4x8 inches,Ferrero Rocher Chocolate 24 pcs.,1 Decorative Roli Chawal Case 4.5x2.5inches"
RK1893,"1 Kids Lumba,Roli Chawal"
RK1894,"4 Rakhi,4 Small Yellow Cushion,1 Treasure Box 4x8x2.5inches,2 Flower Design Roli Chawal,1 Lindt Caramel 100gm,1 Lindt Dark Chocolate 100gms"
RK1910,"1 White Mug Diameter 3x4inches,1 White Cushions 12x12inches,Almonds 250gms"
RK1925,"Rakhi, Colorful Assorted Chocolates 100 gms"
RK1928,"Rakhi, 2 Assorted Round Chocolates 30gms, Chocolate Bar 70gms, Roli Chawal"
RK1947,"Lumba Set, Golden Designer ThaliDiameter 11.5inches, Almond 100gms, Cashew 100gms, Wallnuts 100gms, Small Yellow Cushion, Roli Chawal"
RK1966,"2 Rakhis, 2 Small Yellow Cushion, Cashew 100gms, Wallnuts 100gms, Assorted Chocolates Square 100gms, Brown Tray 10x6x2inches, Bikano rajbhog 1kg, Roli Chawal"
RK2043,"Rakhi, Small Yellow Cushion, Flower Printed Tin Box with lid 3 inches height, Rectangular Pink Base 10x6inches, Choco Bite 250gms, Standing ganesha 3x6inches, Roli Chawal"
RK2045,"Rakhi, Small Yellow Cushion, Flower Printed Tin Box with lid 3 inches height, Choco Bite 250gms, Buddha Head 7 inches height, Roli Chawal"
RK227,"Star Shaped Golden Metallic Rakhi with Blue Stones and Pearls, Small Yellow Cushion, Greeting Card, Chokola Chocochip Cookies 185gms & Roli Chawal"
RK229,"Anchor Rakhi, Small Yellow Cushion, Greeting Card, Nacho Krunchers 140gms, 2 Cadbury Dairy Milk Silk 60gms & Roli Chawal"
RK248,"metallic studded swan lumba with orange red and pink beads, crystal rakhi, yellow cushion, two golden boxes of Roli Chawal, 100gms of cashews, 100 gms of walnuts, 100 gms of cashews, brown flat tray 9x11"
RK276,"Rudraksha with red and golden beads rakhi,Small Yellow Cushion,Ferrero Rocher 5 pcs.,Sunfeast Delishus Nuts & Raisins 75gms,Cookie Heaven Badam Pista Cookies 200gms,Wooden Tray Without leg 9X13,Roli Chawal"
RK303,"Two Small Golden Box with Roli Chawal,Small Yellow Cushion,three Red & Golden Potli,Raisin 250gms,Almonds 250gms,Cashewsnuts 250gms,Ganesh pearl rakhi"
RK304,"Small Yellow Cushion,Milano Chocolate Chip Cookies 75gms,Sunfeast Delishus Nuts & Raisins 75gms,Roli Chawal,Ganesh pearl rakhi"
RK933,12x12 Cushion
RK345,"Blue beads and pearl rakhi with pearl and stones in middle,Red stone in middle with pearl rakhi,Chain rakhi with blue stone in middle,Three Small Yellow Cushion,Choco Swiss Variety of Six Pack,Each Pack 90GMS,Roli Chawal"
RK374,"Golden chain pearl rakhi with crystal in middle,Silver Almunium Round Tray diameter 11 inches, Small Yellow Cushion, Pista 100gms, Almonds 100gms, Cashewsnuts 100gms, Raisins 100gms, roli chawal"
RK380,"Red stoned Rakhi with pearls at its side,Tong Garden Cashewnuts salted 140gms, Small Light Yellow Card, Sunfeast Dark Fantasy Choco Fills 75gms, complimentary roli and chawal"
RK412,"Red and golden beads rakhi with studded center,Roli Chawal"
RK938,White mug with Print
RK441,"A crystal rakhi with pearls stucked in a chain, 2 Small Golden Boxes, Cookies with Chocolate 180gms, Coconut Cookies 180gms, Small Yellow Cushion, Cane Round Basket Diameter 8 inches,"
RK457,"Greeting Card, Brown beads Rudraksh rakhi, Lindt Excellence Smooth Dark 100gms, 2 Ganesha door soans, Roli Chawal"
RK484,"Moli Rakhi with a crystal in the centre, Kaju Roll 1000gms, Silver Aluminium Round Tray diameter 11 inches, Small Light Yellow Card, Roli Chawal"
RK517,"Small Yellow Cushion, Mere Bhaiyya crystal studded rakhi, Silver Almunium Round Tray diameter 11 inches, Cashewsnuts 250gms, Peda 500gms, Two small golden boxes of Roli Chawal"
RK582,"Brown Flat Tray 9x11, Coconut Cookies 180gms, Kaju Burfi 500gms, 2 Orange and white beads rakhis, Small yellow cushion, Roli Chawal"
RK955,"Cushion 12x12, Nike Fission Natural Spray Women 100ml, Pink Candle 3 inches height"
RK63,contrasting beads of Rakhi with a crystal in the centre with Roli and Chawal.
RK663,"Crystal studded ganesha rakhi with Pearls in the string, Roli Chawal, Small yellow cushion, Panjeeri 500gms"
RK67,red & white turtle Rakhi with Roli chawal
RK722,"Rectangular red stoned Rakhi, Small Yellow Cushion, De Miami Truffles set of Four, De Miami Fudge set of Six, De Miami Truffles set of Nine, Roli Chawal"
RK737,"Mere Bhaiyya crystal studded rakhi, Roli Chawal, Small yellow cushion, Copper colored Ganesha door soans, Tin Gulab Jamun 1000gms"
RK773,"Small yellow cushion, Red stone rakhi, Roli Chawal with small card, Cadbury Celebrations Rich Dry Fruit 177gms, Ram Door Soans"
RK846,"Red & Green Beads Rakhi, Small yellow cushion, Complimentary Roli Chawal, Greeting Card, Haldiram Patisa 200gms"
RK918,White Mug with Print
RK928,12x12 Cushion
RK957,"Soan Papdi 250gms, Sunfeast Delishus nut Cookies 60gms, White Mug with Print"
RK960,"Loreal Kajal Magique Black 35gms, Maybelline Lipstick 110 Fuchsia Flare, Cheeky Glow maybelline 7gms, Cushion 12x12"
RK961,"Boat Shape Wooden Basket 9X6.50, De Miami Rocher 105gms, L'Oreal Kajal Magique Black 35gms, White Mug with Print"
RK965,"Cushion 12x12,Temptations Rum Raisins 72gms,Temptations Cashew Appeal 72gms"
