SKU,Description
RK1225,"Rishi Designer Golden Beads In Round Box, Roli Chawal"
RK1669,"1 Rakhi, 1 Assorted Bar Chocolates 50gms, 1 Roli Chawal"
RK771,"1 RAKHI, 1 Cadbury Celebrations Rich Dry Fruit Chocolate 177gm, 1 Decorative Kite Roli Chawal, 1 Door Soan, 1 Small Card, Roli Chawal"
RK1360,"1 Shree Round AD, 1 Rishi Lumba Ad Lumba, Roli Chawal"
RK493,"1 Shivam Square Meenakri Shivam, 1 Jalasheesh NR 817, 2 Small Golden Box, 1 Small Card, Moti Choor Laddoo 1000gms, Roli Chawal"
RK905,"White Mug with Print, Complimentary Roli Chawal, Red and green studded kundan rakhi"
RK1766,"1 RAKHI, 1 Vishnu 11121, 2 Small Yellow Cushion, 1 Steel Red & Golden with pearl layer Round Tray 9 inches, Almonds 250gms, 1 S 5, Roli Chawal"
RK1646,"1 Rakhi, 1 Small Yellow Cushion, 1 Silver Bucket Diameter 4inches, 1 Almond 100gms, 1 Roli Chawal"
RK1239,"Rishi American Diamond Orange, Roli Chawal"
RK715,Light blue Krishna rakhi and complimentary Roli Chawal
RK1040,"1 Small yellow cushions, 2 Pearl rakhi with blue string, Roli Chawal, Moti Choor Laddoo 500gms"
RK1244,"Rishi Bracelets Lv Red, Roli Chawal"
RK526,"1 Kriti Three Small Stone Rakhi, 1 Plastic Decorative Roli Chawal 3x2 Inches Tray, 1 Small Card, Peda 250gms, S 1, Roli Chawal"
RK73,"1 Nityam- Rishi Rakhi, 1 damodar rakhi, 2 Small Golden Box, 1 Greeting card, 1 Brown Flat Tray 9x11 Inches, Almonds 100gms, Roli Chawal"
RK757,"1 Kriti Light Green Diamond, 1 Greeting Card, 1 Roli Chawal"
RK1664," 1 RAKHI, 1 Cadbury Bournville Rich Cocoa Chocolate 80gm, 1 Small Yellow Cushion, 1 Ceramic Black Mug with Print Height 4 Inches & Diameter 3 Inches, Roli Chawal"
RK1084,"White mug with print, Pearl rakh in blue string, Roli Chawal, Small Blue Card"
RK1139,A golden circular pooja thaali with roli chawal & rakhi
RK1713,"1 Kriti Red Velvet, 1 Shivam Long Golden N Red Beads Rakhi Shubh, 1 Red Designer Box 3.5x8x1inches, 1 Pink Designer Coconut, 1 Marval Ganesha with Choki height 3 inches, Roli Chawal"
RK234,"Red & Green Kundan Lumba and Rakhi, Small Yellow Cushion, Greeting Card, Almonds 250gms, Red & Golden Potley & Roli Chawal"
RK1261,"Kriti Red Square With Stone In Middle, Roli Chawal"
RK1137,"1 Shivam Square Meenakri Shivam, 1 Nityam- Rishi Rakhi, 1 Small Card, 1 Red Plastic Roli Chawal Tray Diameter 5 Inches, 1 Roli Chawal"
