Product ID,Product SKU,Egg/Eggless,Variants
1352,CAKE9247,"CAKE9247,CAKE10590","CAKE9247,CAKE9249,CAKE9241"
1353,CAKE10590,"CAKE9247,CAKE10590","CAKE10590,CAKE10589,CAKE10582"
1237,CAKE8624,"CAKE8624,CAKE12062","CAKE8621,CAKE8624,CAKE8623"
1232,CAKE12062,"CAKE8624,CAKE12062","CAKE12063,CAKE12062,CAKE12073"
1236,CAKE8623,"CAKE8623,CAKE12073","CAKE8621,CAKE8624,CAKE8623"
1234,CAKE12073,"CAKE8623,CAKE12073","CAKE12063,CAKE12062,CAKE12073"
1235,CAKE8621,"CAKE8621,CAKE12063","CAKE8621,CAKE8624,CAKE8623"
1233,CAKE12063,"CAKE8621,CAKE12063","CAKE12063,CAKE12062,CAKE12073"
1411,CAKE9789,"CAKE9789,CAKE12094","CAKE9789,CAKE9788"
1409,CAKE12094,"CAKE9789,CAKE12094","CAKE12094,CAKE12093"
1410,CAKE9788,"CAKE9788,CAKE12093","CAKE9789,CAKE9788"
1408,CAKE12093,"CAKE9788,CAKE12093","CAKE12094,CAKE12093"
1378,CAKE9340,"CAKE9340,CAKE10893","CAKE9404,CAKE9340,CAKE9376"
1379,CAKE10893,"CAKE9340,CAKE10893","CAKE10889,CAKE10893,CAKE10891"
1380,CAKE9376,"CAKE9376,CAKE10891","CAKE9404,CAKE9340,CAKE9376"
1381,CAKE10891,"CAKE9376,CAKE10891","CAKE10889,CAKE10893,CAKE10891"
1382,CAKE9404,"CAKE9404,CAKE10889","CAKE9404,CAKE9340,CAKE9376"
1383,CAKE10889,"CAKE9404,CAKE10889","CAKE10889,CAKE10893,CAKE10891"
1288,CAKE8748,"CAKE8748,CAKE11520","CAKE8746,CAKE8748,CAKE8750"
1289,CAKE11520,"CAKE8748,CAKE11520","CAKE11522,CAKE11520,CAKE11525"
1290,CAKE8750,"CAKE8750,CAKE11525","CAKE8746,CAKE8748,CAKE8750"
1291,CAKE11525,"CAKE8750,CAKE11525","CAKE11522,CAKE11520,CAKE11525"
1292,CAKE8746,"CAKE8746,CAKE11522","CAKE8746,CAKE8748,CAKE8750"
1293,CAKE11522,"CAKE8746,CAKE11522","CAKE11522,CAKE11520,CAKE11525"
1166,CAKE8045,"CAKE8045,CAKE11352","CAKE8048,CAKE8045,CAKE8043"
1167,CAKE11352,"CAKE8045,CAKE11352","CAKE11365,CAKE11352,CAKE11344"
1168,CAKE8043,"CAKE8043,CAKE11344","CAKE8048,CAKE8045,CAKE8043"
1169,CAKE11344,"CAKE8043,CAKE11344","CAKE11365,CAKE11352,CAKE11344"
1170,CAKE8048,"CAKE8048,CAKE11365","CAKE8048,CAKE8045,CAKE8043"
1171,CAKE11365,"CAKE8048,CAKE11365","CAKE11365,CAKE11352,CAKE11344"
1130,CAKE6069,"CAKE6069,CAKE11839","CAKE6071,CAKE6069,CAKE6079"
1131,CAKE11839,"CAKE6069,CAKE11839","CAKE11838,CAKE11839,CAKE11832"
1132,CAKE6079,"CAKE6079,CAKE11832","CAKE6071,CAKE6069,CAKE6079"
1133,CAKE11832,"CAKE6079,CAKE11832","CAKE11838,CAKE11839,CAKE11832"
1134,CAKE6071,"CAKE6071,CAKE11838","CAKE6071,CAKE6069,CAKE6079"
1135,CAKE11838,"CAKE6071,CAKE11838","CAKE11838,CAKE11839,CAKE11832"
1226,CAKE8577,"CAKE8577,CAKE11044","CAKE8575,CAKE8577,CAKE8579"
1227,CAKE11044,"CAKE8577,CAKE11044","CAKE11046,CAKE11044,CAKE11054"
1228,CAKE8579,"CAKE8579,CAKE11054","CAKE8575,CAKE8577,CAKE8579"
1229,CAKE11054,"CAKE8579,CAKE11054","CAKE11046,CAKE11044,CAKE11054"
1230,CAKE8575,"CAKE8575,CAKE11046","CAKE8575,CAKE8577,CAKE8579"
1231,CAKE11046,"CAKE8575,CAKE11046","CAKE11046,CAKE11044,CAKE11054"
1437,CAKE37976,"CAKE37976,CAKE37980","CAKE37976,CAKE37978"
1441,CAKE37980,"CAKE37976,CAKE37980","CAKE37980,CAKE37979"
1439,CAKE37978,"CAKE37978,CAKE37979","CAKE37976,CAKE37978"
1440,CAKE37979,"CAKE37978,CAKE37979","CAKE37980,CAKE37979"
1438,CAKE37977,"CAKE37977,CAKE37972","CAKE37976,CAKE37978"
1436,CAKE37972,"CAKE37977,CAKE37972","CAKE37980,CAKE37979"
1431,CAKE37940,"CAKE37940,CAKE37942","CAKE37940,CAKE37939"
1432,CAKE37942,"CAKE37940,CAKE37942","CAKE37942,CAKE37947"
1430,CAKE37939,"CAKE37939,CAKE37947","CAKE37940,CAKE37939"
1435,CAKE37947,"CAKE37939,CAKE37947","CAKE37942,CAKE37947"
1433,CAKE37943,"CAKE37943,CAKE37945","CAKE37940,CAKE37939"
1434,CAKE37945,"CAKE37943,CAKE37945","CAKE37942,CAKE37947"
1246,CAKE8627,"CAKE8627,CAKE12098","CAKE8627,CAKE8630"
1245,CAKE12098,"CAKE8627,CAKE12098","CAKE12098,CAKE12096"
1247,CAKE8630,"CAKE8630,CAKE12096","CAKE8627,CAKE8630"
1244,CAKE12096,"CAKE8630,CAKE12096","CAKE12098,CAKE12096"
1509,CAKE41934,"CAKE41934,CAKE41930","CAKE41936,CAKE41934,CAKE41932"
1512,CAKE41930,"CAKE41934,CAKE41930","CAKE41933,CAKE41930,CAKE41931"
1510,CAKE41932,"CAKE41932,CAKE41931","CAKE41936,CAKE41934,CAKE41932"
1513,CAKE41931,"CAKE41932,CAKE41931","CAKE41933,CAKE41930,CAKE41931"
1508,CAKE41936,"CAKE41936,CAKE41933","CAKE41936,CAKE41934,CAKE41932"
1511,CAKE41933,"CAKE41936,CAKE41933","CAKE41933,CAKE41930,CAKE41931"
1282,CAKE8717,"CAKE8717,CAKE11510","CAKE8717,CAKE8719"
